variable,class
pitch_type,character
game_date,date
release_speed,numeric
release_pos_x,numeric
release_pos_z,numeric
player_name,character
batter,integer
pitcher,integer
events,character
description,character
spin_dir,character
spin_rate_deprecated,character
break_angle_deprecated,character
break_length_deprecated,character
zone,numeric
des,character
game_type,character
stand,character
p_throws,character
home_team,character
away_team,character
type,character
hit_location,integer
bb_type,character
balls,integer
strikes,integer
game_year,integer
pfx_x,numeric
pfx_z,numeric
plate_x,numeric
plate_z,numeric
on_3b,numeric
on_2b,numeric
on_1b,numeric
outs_when_up,integer
inning,integer
inning_topbot,character
hc_x,numeric
hc_y,numeric
tfs_deprecated,character
tfs_zulu_deprecated,character
fielder_2,numeric
umpire,character
sv_id,character
vx0,numeric
vy0,numeric
vz0,numeric
ax,numeric
ay,numeric
az,numeric
sz_top,numeric
sz_bot,numeric
hit_distance_sc,numeric
launch_speed,numeric
launch_angle,numeric
effective_speed,numeric
release_spin_rate,numeric
release_extension,numeric
game_pk,numeric
pitcher_1,numeric
fielder_2_1,numeric
fielder_3,numeric
fielder_4,numeric
fielder_5,numeric
fielder_6,numeric
fielder_7,numeric
fielder_8,numeric
fielder_9,numeric
release_pos_y,numeric
estimated_ba_using_speedangle,numeric
estimated_woba_using_speedangle,numeric
woba_value,numeric
woba_denom,numeric
babip_value,numeric
iso_value,numeric
launch_speed_angle,numeric
at_bat_number,integer
pitch_number,integer
pitch_name,character
home_score,numeric
away_score,numeric
bat_score,numeric
fld_score,numeric
post_away_score,numeric
post_home_score,numeric
post_bat_score,numeric
post_fld_score,numeric
if_fielding_alignment,character
of_fielding_alignment,character
barrel,numeric
hit_type,numeric
hit,numeric
fielding_team,character
batting_team,character
spray_angle,numeric